Tanggal Pemerahan,Kode Sapi,Jumlah Pakan,Suhu,Umur,Berat Badan,Produksi Susu,Rekomendasi
2025-05-15,SAPI03,33.1,29.5,8.0,564.0,6.21,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Jumlah pakan sesuai untuk sapi dewasa. | 🐮 Umur sapi cukup tua. Produksi susu mungkin menurun. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI04,36.0,29.5,7.0,592.0,9.67,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Jumlah pakan sesuai untuk sapi dewasa. | 🐮 Umur sapi cukup tua. Produksi susu mungkin menurun. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI05,38.1,29.5,5.0,578.0,14.61,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Jumlah pakan sesuai untuk sapi dewasa. | 🐮 Umur sapi masih dalam masa pertumbuhan menuju produktif. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI06,43.2,29.5,4.0,571.0,17.7,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan berlebih untuk usia 2–4 tahun. Pastikan keseimbangan gizi. | 🐮 Umur sapi dalam masa produktif optimal. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI07,41.3,29.5,7.0,569.0,10.02,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan berlebih untuk sapi dewasa. Perhatikan komposisi dan efisiensi. | 🐮 Umur sapi cukup tua. Produksi susu mungkin menurun. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI08,42.5,29.5,7.0,649.0,11.84,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan berlebih untuk sapi dewasa. Perhatikan komposisi dan efisiensi. | 🐮 Umur sapi cukup tua. Produksi susu mungkin menurun. | ⚖️ Berat badan terlalu tinggi. Periksa komposisi pakan agar tidak berlemak."
2025-05-15,SAPI09,42.7,29.5,6.0,614.0,13.6,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan berlebih untuk sapi dewasa. Perhatikan komposisi dan efisiensi. | 🐮 Umur sapi masih dalam masa pertumbuhan menuju produktif. | ⚖️ Berat badan terlalu tinggi. Periksa komposisi pakan agar tidak berlemak."
2025-05-15,SAPI10,40.3,29.5,7.0,583.0,10.15,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan berlebih untuk sapi dewasa. Perhatikan komposisi dan efisiensi. | 🐮 Umur sapi cukup tua. Produksi susu mungkin menurun. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI01,38.2,29.5,5.0,564.0,14.34,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Jumlah pakan sesuai untuk sapi dewasa. | 🐮 Umur sapi masih dalam masa pertumbuhan menuju produktif. | ⚖️ Berat badan ideal untuk produksi susu."
2025-05-15,SAPI01,29.0,29.5,5.0,564.0,12.81,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan kurang untuk sapi dewasa. | 🐮 Masa pertumbuhan menuju produktif. | ⚖️ Berat badan ideal."
2025-06-01,SAPI03,78.0,30.0,8.0,564.0,14.85,"🌡️ Suhu terlalu tinggi, perbesar ventilasi dan siram lantai/tubuh sapi. | 🥬 Pakan berlebih untuk sapi dewasa. | 🐮 Umur tua, produksi mungkin menurun. | ⚖️ Berat badan ideal."
